"customer_id","marital","reliability"
"K409198","Widowed","2"
"S120509","Married","2"
"K191035","Widowed","4"
"D90850","Married","3"
"K662701","Separated","3"
"W303516","Never Married","4"
"U335188","Widowed","5"
"V538685","Married","5"
"M716771","Separated","4"
"I676080","Married","3"
"J980369","Separated","3"
"E243720","Married","2"
"F139569","Divorced","3"
"X44200","Separated","4"
"H68068","Separated","3"
"A403906","Divorced","3"
"V847470","Married","2"
"F721878","Separated","3"
"F487435","Widowed","2"
"B561228","Divorced","4"
"X325271","Never Married","3"
"I282896","Divorced","4"
"I367206","Widowed","4"
"N37182","Divorced","3"
"U644626","Widowed","4"
"A766555","Separated","4"
"V54032","Married","3"
"Z301326","Widowed","2"
"J887250","Separated","2"
"Z686376","Never Married","3"
"L357432","Married","5"
"V899967","Never Married","5"
"G571225","Divorced","2"
"S381541","Separated","4"
"R195593","Widowed","5"
"I327596","Never Married","4"
"U790894","Never Married","3"
"O739489","Never Married","5"
"I958127","Divorced","4"
"Z666770","Divorced","4"
"X711438","Divorced","2"
"U369541","Married","4"
"S896111","Divorced","4"
"K227200","Never Married","2"
"E818912","Never Married","5"
"Y490834","Divorced","3"
"B609739","Divorced","3"
"E687638","Never Married","6"
"E492264","Separated","1"
"W255321","Married","4"
"S72442","Separated","5"
"O845020","Divorced","2"
"D805597","Never Married","5"
"R189303","Separated","3"
"N142854","Widowed","4"
"F522569","Separated","4"
"L384793","Married","3"
"C101444","Widowed","3"
"E987442","Separated","3"
"L54611","Never Married","2"
"L85018","Never Married","3"
"O942919","Widowed","5"
"I167253","Separated","5"
"R110564","Widowed","4"
"M278354","Divorced","3"
"W604879","Never Married","4"
"X345797","Married","2"
"N189653","Widowed","4"
"M562102","Separated","2"
"X67911","Separated","5"
"O834546","Married","3"
"I493092","Divorced","5"
"H787644","Married","5"
"N582710","Divorced","3"
"T689606","Never Married","4"
"E330599","Married","3"
"C641592","Widowed","4"
"E24772","Never Married","4"
"A889769","Never Married","3"
"G391761","Divorced","6"
"A606860","Married","1"
"E186097","Divorced","4"
"I627613","Separated","3"
"Z188641","Divorced","3"
"A740543","Divorced","4"
"W681476","Never Married","4"
"G842176","Widowed","5"
"Z852663","Divorced","5"
"C73741","Separated","5"
"W258972","Never Married","1"
"G491883","Separated","4"
"C302549","Widowed","4"
"K581313","Separated","3"
"T46150","Never Married","4"
"B260505","Never Married","4"
"W877056","Divorced","2"
"M478246","Married","4"
"N417817","Divorced","1"
"R180138","Never Married","3"
"N931384","Never Married","4"
"O967373","Separated","4"
"G695985","Never Married","3"
"P33478","Divorced","2"
"K100436","Separated","3"
"L475907","Divorced","3"
"A78095","Widowed","4"
"X742990","Widowed","3"
"P347346","Divorced","2"
"O235183","Married","3"
"R776311","Married","4"
"C25146","Divorced","5"
"E722502","Widowed","4"
"D515341","Never Married","3"
"U972291","Widowed","2"
"N374641","Divorced","3"
"R736057","Divorced","5"
"K401117","Married","3"
"O17401","Divorced","3"
"E779833","Married","3"
"Q527077","Divorced","5"
"Q765651","Divorced","4"
"W400552","Divorced","5"
"S979985","Widowed","4"
"E351590","Divorced","1"
"J227824","Separated","5"
"S136858","Widowed","4"
"N883325","Separated","4"
"U700981","Never Married","5"
"X267853","Separated","3"
"S985225","Divorced","4"
"X645702","Divorced","3"
"I703479","Divorced","3"
"S370452","Divorced","1"
"D333249","Divorced","3"
"O698848","Separated","3"
"M248356","Married","3"
"E759213","Married","2"
"G106476","Widowed","3"
"D873414","Never Married","2"
"X906302","Married","4"
"Z245249","Divorced","3"
"T30358","Widowed","4"
"K974027","Never Married","4"
"R464272","Divorced","3"
"Q541158","Married","3"
"O707075","Divorced","3"
"L229402","Divorced","3"
"Y259927","Divorced","3"
"G820541","Separated","2"
"F672614","Married","5"
"L686627","Never Married","3"
"T660448","Never Married","5"
"G864898","Divorced","2"
"V847401","Married","1"
"X852253","Separated","5"
"M482085","Married","4"
"L535753","Separated","3"
"K265986","Divorced","2"
"C695447","Married","4"
"T484755","Never Married","2"
"X999392","Widowed","4"
"N995093","Married","3"
"D478815","Married","4"
"I338069","Widowed","5"
"T278739","Married","2"
"R857699","Divorced","5"
"Q386914","Married","3"
"T132275","Divorced","2"
"T392167","Divorced","5"
"J315269","Never Married","2"
"B124449","Married","5"
"P954849","Married","3"
"K20948","Widowed","4"
"M893176","Widowed","2"
"P765785","Widowed","3"
"X780945","Divorced","3"
"H776847","Divorced","4"
"A471876","Divorced","4"
"B424659","Separated","3"
"F111037","Widowed","4"
"S690107","Divorced","4"
"Q991854","Never Married","2"
"U560834","Divorced","3"
"P452772","Widowed","2"
"B949126","Divorced","3"
"F697244","Widowed","4"
"F501848","Separated","4"
"Q971369","Separated","3"
"W186069","Never Married","4"
"Y292243","Married","5"
"F333860","Divorced","4"
"Z534243","Widowed","2"
"O249806","Married","4"
"V143753","Never Married","4"
"A715491","Widowed","5"
"D986940","Never Married","2"
"Z147347","Separated","3"
"W830673","Never Married","3"
"Q470894","Separated","3"
"I584048","Widowed","4"
"J779175","Never Married","4"
"O82369","Widowed","4"
"U528986","Never Married","6"
"K33780","Widowed","4"
"M720169","Widowed","4"
"Q279060","Separated","4"
"V840276","Divorced","5"
"B248010","Widowed","3"
"C805115","Never Married","3"
"D89225","Widowed","4"
"X904034","Widowed","2"
"B148329","Divorced","6"
"X914490","Divorced","3"
"U120690","Never Married","3"
"F116821","Widowed","3"
"X389713","Never Married","4"
"M379067","Separated","5"
"A81135","Never Married","4"
"V280043","Widowed","4"
"U169694","Divorced","4"
"N162822","Separated","2"
"K618387","Widowed","1"
"D944092","Never Married","5"
"F908532","Never Married","2"
"K380097","Married","3"
"R717119","Never Married","3"
"X978383","Divorced","3"
"L693606","Separated","4"
"Q486994","Married","4"
"R463442","Married","4"
"O40995","Divorced","4"
"I933613","Never Married","3"
"O900811","Widowed","2"
"F269503","Divorced","3"
"V549313","Married","5"
"Y254714","Never Married","4"
"C125388","Widowed","2"
"D901316","Married","4"
"H906834","Married","3"
"W551882","Separated","3"
"D402022","Divorced","3"
"M545162","Divorced","4"
"C459569","Never Married","3"
"O226386","Widowed","5"
"G954415","Married","6"
"E475593","Divorced","2"
"D160442","Widowed","2"
"J757606","Married","3"
"E791178","Married","5"
"U451201","Divorced","3"
"Z817431","Divorced","4"
"A295468","Never Married","4"
"S986240","Widowed","3"
"H472673","Married","1"
"H146363","Widowed","3"
"S596844","Never Married","3"
"K458306","Divorced","4"
"N279711","Widowed","4"
"P760514","Widowed","4"
"H849889","Separated","5"
"R379090","Widowed","4"
"L187290","Widowed","4"
"X525693","Divorced","5"
"T515102","Widowed","4"
"V571104","Divorced","4"
"V824084","Never Married","3"
"L189856","Separated","5"
"D07066","Married","4"
"N584184","Never Married","1"
"K578402","Divorced","3"
"Y413092","Separated","2"
"F980573","Separated","3"
"I581177","Never Married","3"
"U469398","Divorced","6"
"I85282","Married","4"
"Z317359","Widowed","3"
"I981930","Married","3"
"N227355","Never Married","5"
"E805998","Divorced","4"
"J633340","Married","4"
"L762626","Married","5"
"S206250","Separated","3"
"C917569","Divorced","5"
"L282757","Never Married","4"
"D762674","Married","3"
"N914081","Divorced","2"
"K905632","Separated","4"
"H247341","Separated","5"
"N02836","Separated","3"
"P742927","Divorced","4"
"V109553","Divorced","3"
"J227266","Separated","6"
"F881222","Widowed","3"
"O167724","Divorced","4"
"Y554348","Separated","2"
"N800767","Never Married","4"
"B363210","Separated","4"
"P903407","Never Married","2"
"O825386","Separated","3"
"Q76170","Divorced","4"
"J04574","Widowed","3"
"R620556","Widowed","3"
"S136763","Widowed","4"
"J790219","Separated","4"
"O403373","Divorced","6"
"S256934","Separated","3"
"F693121","Married","4"
"O154545","Widowed","5"
"A745374","Married","3"
"W893206","Widowed","3"
"H113074","Never Married","3"
"J779911","Married","5"
"Y832510","Divorced","4"
"S528947","Never Married","6"
"V592787","Separated","4"
"H283133","Never Married","3"
"W884202","Never Married","5"
"N447597","Never Married","3"
"C416907","Divorced","3"
"A51913","Divorced","4"
"C742414","Never Married","2"
"M697338","Separated","2"
"B773959","Divorced","5"
"H691053","Divorced","5"
"V971650","Married","4"
"L226598","Never Married","4"
"K730146","Widowed","5"
"O894158","Widowed","3"
"H307794","Divorced","3"
"A318319","Divorced","4"
"T369132","Married","5"
"T638377","Married","2"
"E369828","Divorced","5"
"G948882","Married","3"
"Y748946","Married","5"
"O402306","Never Married","2"
"D493050","Divorced","4"
"D758871","Married","2"
"F353304","Separated","3"
"X960330","Widowed","3"
"O463102","Widowed","3"
"W202562","Separated","3"
"B323829","Widowed","3"
"M790643","Divorced","5"
"D555108","Divorced","4"
"W839946","Divorced","2"
"O511762","Divorced","5"
"B118954","Divorced","5"
"N28336","Separated","5"
"B871043","Never Married","4"
"S317408","Separated","3"
"S255098","Married","5"
"X426072","Never Married","4"
"W452692","Married","3"
"F858862","Never Married","2"
"L944489","Married","2"
"K681982","Never Married","4"
"F240900","Separated","2"
"R164095","Separated","5"
"O534672","Never Married","3"
